"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x026ba748e8d9255f206b1e8b70cc587831e18a465566877c1fef5d98329fdadb","15427843","1661690179","2022-08-28 12:36:19","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,359.467471209490740741","$62.12","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x6839fb6eff59bc3863ff5d70cbf7975b84c8f978b5d46c5c13cafe155a4cb3df","15463998","1662189441","2022-09-03 07:17:21","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","968.107444994212962963","$42.39","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x2daed913389d4e28d99be4b6630939f84f8261a4ac651744f79d09d60f091312","15479746","1662407452","2022-09-05 19:50:52","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","23,556.640046296296296296","$1,030.34","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x8db287c2a562f5e88d1fb80a3766cbd1243104b8e9f1f7e3b27680567e1597a2","15479771","1662407887","2022-09-05 19:58:07","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","5,462.253125","$238.91","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x58c472fe42ed010cc3795d5d97dc14cc92d73c63f4378eae0c368b436d8b4cf7","15507914","1662799970","2022-09-10 08:52:50","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,183.862721947337962963","$51.37","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xaf190d28f0396ce009615716878cfd9468a1ec1298402ceba873daabd7fb62ef","15545579","1663324019","2022-09-16 10:26:59","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xaadd396a495f6ba70322a7e414cbf792e7003274","2,961.362525925925925926","$124.10","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x5b8d676466fd8c72e5885c48b400ad7a9ee1bd6ff3325f9b0f972bbb4e5f74d5","15548611","1663360799","2022-09-16 20:39:59","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","12,137.519675925925925926","$508.65","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x5e245672d9dc3df084f7e2bb1b523d1377b9a2e1df40704054203873a01fa218","15560280","1663502231","2022-09-18 11:57:11","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,361.738130338541666666","$55.05","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x7cfb16f8b5adb0657a4562d8f26f4c5d01b75abed375f16bb44bb7bce642b04f","15568560","1663602611","2022-09-19 15:50:11","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","17,652.745572916666666667","$708.87","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xa2aea32072355f55b8023207afd0a8cd6014355b3b1e2792f3bd7d00ed11a863","15603196","1664022227","2022-09-24 12:23:47","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,008.312266840277777778","$51.09","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
