"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x2b10a6a1b6f32a43298174551d2ef970286f53cd765372bb8cd8fe716b7b1475","14998068","1655750259","2022-06-20 18:37:39","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xe337a6e4000d77c3aef1b5289cbb4b536a6ef8e4","9,590","$9,589.24","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","783.02","$784.24","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x79635b386b9bd6636cd701879c32e6dd181c853f","2,033.38","$2,036.55","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","536.89","$536.83","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xea68b44b3584bb82ce71b776aeb987fa22897fd9","1,070.2","$1,071.87","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x2469e0a2b2ffb664500b6c1132ae2f9fc4050abc","927.51","$927.41","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xa928ebb0467b4556a766028c50d0350586046cad","4,033","$4,032.57","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x946f7cc10fb0a6dc70860b6cf55ef2c722cc7e1a","1,880","$1,879.80","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xe337a6e4000d77c3aef1b5289cbb4b536a6ef8e4","1,980","$1,979.79","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x613dad2f8552b8424df16ddb7e6842d15660ff25","4,096","$4,095.56","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xb5d10c786b3653ddad5e5853ff0c137b410f958e","1,200","$1,201.87","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xa43d28cc33aeeff7c22d3efbda54e7ba9a9f25e7fc02008ad6ad6b6d616f4342","15139419","1657784648","2022-07-14 07:44:08","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x946f7cc10fb0a6dc70860b6cf55ef2c722cc7e1a","360","$359.96","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x000196b07edaa1bb6fbb1e7faeeb0ec61fe4b031ed4fee237ff1e1585f67fde3","15408910","1661427727","2022-08-25 11:42:07","0xdf5faa56443098af17baffc510da8dee34b0e75c","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","46,913","N/A","0x120aa018634f555484c088c8da80f75aa07e004f","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x08297cb755c537171199a9ba62fc6a520dd4dcd925aa64ee13ef3c9b6b924c8b","15573736","1663665287","2022-09-20 09:14:47","0x00b8bd6d6f3964418d8b03245ac4a86a208dd3bc","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","1,585","N/A","0x69d732f50e248d4b825d524fedeb0d7ce3d76352","ERC-20 TOKEN*","ERC-20 TOKEN*"
